,comment
349,2k calorie burning that is a real flex right there
350,just realized that you through in the john mayer g shock in there nice
351,if they could just make the standard apple watch model the same size a this i would get it standard apple watch is too small this watch at it size with a titanium band is absolutely beautiful and look like a proper watch on the wrist ill wait for the price to drop on this
352,i have the samsung galaxy watch 5 and it last me easily 3 5 day depending on usage
353,i really do not get why apple are not using solar energy seiko use it
354,because they have not perfected it yet they are always late to the game with thing but it end working better than their competitor
355,apple sheep lol
356,ah finally something that might withstand the army
357,i think it all dependes whether you need it or not im not a pro athlete just a runner and i only need to know simple thing like distanced run timer calorie burned and some simple item and i have the apple watch se which is good enough for me however if u are a pro athlete hiker scuba diver hardcore adventurer i think it might worth buying it but still considering it an 800 dollar watch if you are willing to pay then it fine but for me it all just depends on whether u need it or not
358,can we appreciate that catch tho 13 00
359,great video however scuba diver be aware there is a bit of a mix up with the info this watch doe not feature air integration which is the same thing a tank pressure monitoring perhaps in the future apple will make an ultra capable of emitting a radio signal that work underwater compatible with existing tank cylinder transmitter now that would be awesome
360,the extended battery is one of the few thing that i actually like about this device it is overrated and overpriced the hand washing feature doe not work most of the time i want a smaller watch with a better battery and blood glucose monitoring
361,the price difference is not that much differnet from the apple watch 8 stainless steel so i would say the ultra is a better choice
